2025-04-08 23:20:37,893 - [Val Epoch 15] MTM=0.0748, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-09 01:56:26,628 - [Train Epoch 16] MTM=0.1430, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-09 02:13:44,497 - [Val Epoch 16] MTM=0.0732, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-09 04:48:43,039 - [Train Epoch 17] MTM=0.1418, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-09 05:06:48,804 - [Val Epoch 17] MTM=0.0707, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-09 07:42:41,496 - [Train Epoch 18] MTM=0.1401, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-09 07:59:57,921 - [Val Epoch 18] MTM=0.0711, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-09 10:36:52,775 - [Train Epoch 19] MTM=0.1390, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-09 10:54:23,227 - [Val Epoch 19] MTM=0.0692, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-09 13:31:15,376 - [Train Epoch 20] MTM=0.1376, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-09 13:48:56,669 - [Val Epoch 20] MTM=0.0696, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-09 16:26:17,698 - [Train Epoch 21] MTM=0.1373, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-09 16:44:02,438 - [Val Epoch 21] MTM=0.0710, T2T=0.0000, T2N=0.0000, N2N=0.0000
